'3', 'présent', 'conditionnel', '4', 'acquérir', '0'
'3', 'présent', 'conditionnel', '5', 'acquérir', '0'
'3', 'présent', 'conditionnel', '6', 'acquérir', '0'
'3', 'présent', 'subjonctif', '1', 'acquérir', '0'
'3', 'présent', 'subjonctif', '2', 'acquérir', '0'
'3', 'présent', 'subjonctif', '3', 'acquérir', '0'
'3', 'présent', 'subjonctif', '4', 'acquérir', '0'
'3', 'présent', 'subjonctif', '5', 'acquérir', '0'
'3', 'présent', 'subjonctif', '6', 'acquérir', '0'
'3', 'imparfait', 'subjonctif', '1', 'acquérir', '0'
'3', 'imparfait', 'subjonctif', '2', 'acquérir', '0'
'3', 'imparfait', 'subjonctif', '3', 'acquérir', '0'
'3', 'imparfait', 'subjonctif', '4', 'acquérir', '0'
'3', 'imparfait', 'subjonctif', '5', 'acquérir', '0'
'3', 'imparfait', 'subjonctif', '6', 'acquérir', '0'
'3', 'présent', 'impératif', '2', 'acquérir', '0'
'3', 'présent', 'impératif', '4', 'acquérir', '0'
'3', 'présent', 'impératif', '5', 'acquérir', '0'
'3', 'présent', 'participe', '1', 'acquérir', '0'
'3', 'passé', 'participe', '1', 'acquérir', '0'
'3', 'présent', 'indicatif', '1', 'adjoindre', '0'
'3', 'présent', 'indicatif', '2', 'adjoindre', '0'
'3', 'présent', 'indicatif', '3', 'adjoindre', '0'
'3', 'présent', 'indicatif', '4', 'adjoindre', '0'
'3', 'présent', 'indicatif', '5', 'adjoindre', '0'
'3', 'présent', 'indicatif', '6', 'adjoindre', '0'
'3', 'imparfait', 'indicatif', '1', 'adjoindre', '0'
'3', 'imparfait', 'indicatif', '2', 'adjoindre', '0'
'3', 'imparfait', 'indicatif', '3', 'adjoindre', '0'
'3', 'imparfait', 'indicatif', '4', 'adjoindre', '0'
'3', 'imparfait', 'indicatif', '5', 'adjoindre', '0'
'3', 'imparfait', 'indicatif', '6', 'adjoindre', '0'
'3', 'passé simple', 'indicatif', '1', 'adjoindre', '0'
'3', 'passé simple', 'indicatif', '2', 'adjoindre', '0'
'3', 'passé simple', 'indicatif', '3', 'adjoindre', '0'
'3', 'passé simple', 'indicatif', '4', 'adjoindre', '0'
'3', 'passé simple', 'indicatif', '5', 'adjoindre', '0'
'3', 'passé simple', 'indicatif', '6', 'adjoindre', '0'
'3', 'futur simple', 'indicatif', '1', 'adjoindre', '0'
'3', 'futur simple', 'indicatif', '2', 'adjoindre', '0'
'3', 'futur simple', 'indicatif', '3', 'adjoindre', '0'
'3', 'futur simple', 'indicatif', '4', 'adjoindre', '0'
'3', 'futur simple', 'indicatif', '5', 'adjoindre', '0'
'3', 'futur simple', 'indicatif', '6', 'adjoindre', '0'
'3', 'présent', 'conditionnel', '1', 'adjoindre', '0'
'3', 'présent', 'conditionnel', '2', 'adjoindre', '0'
'3', 'présent', 'conditionnel', '3', 'adjoindre', '0'
'3', 'présent', 'conditionnel', '4', 'adjoindre', '0'
'3', 'présent', 'conditionnel', '5', 'adjoindre', '0'
'3', 'présent', 'conditionnel', '6', 'adjoindre', '0'
'3', 'présent', 'subjonctif', '1', 'adjoindre', '0'
'3', 'présent', 'subjonctif', '2', 'adjoindre', '0'
'3', 'présent', 'subjonctif', '3', 'adjoindre', '0'
'3', 'présent', 'subjonctif', '4', 'adjoindre', '0'
'3', 'présent', 'subjonctif', '5', 'adjoindre', '0'
'3', 'présent', 'subjonctif', '6', 'adjoindre', '0'
'3', 'imparfait', 'subjonctif', '1', 'adjoindre', '0'
'3', 'imparfait', 'subjonctif', '2', 'adjoindre', '0'
'3', 'imparfait', 'subjonctif', '3', 'adjoindre', '0'
'3', 'imparfait', 'subjonctif', '4', 'adjoindre', '0'
'3', 'imparfait', 'subjonctif', '5', 'adjoindre', '0'
'3', 'imparfait', 'subjonctif', '6', 'adjoindre', '0'
'3', 'présent', 'impératif', '2', 'adjoindre', '0'
'3', 'présent', 'impératif', '4', 'adjoindre', '0'
'3', 'présent', 'impératif', '5', 'adjoindre', '0'
'3', 'présent', 'participe', '1', 'adjoindre', '0'
'3', 'passé', 'participe', '1', 'adjoindre', '0'
